Category,Test,Test implemented (GTR),Comment,Flow testplan,Test function in flow,C++ file
Continuity,OPEN test (Pre-),Y,-- Continuity start --,UR78FA008BE01.tpl; UR78FC008BE01.tpl; UR78FH008BE01.tpl; UR78QH008BE01.tpl,"Continuity, 0",Continuity.cpp
Continuity,SHORT test (Pre-),Y,-- Continuity start --,UR78FA008BE01.tpl; UR78FC008BE01.tpl; UR78FH008BE01.tpl; UR78QH008BE01.tpl,"Continuity, 0",Continuity.cpp
Continuity,OPEN test (Post-),Y,-- Continuity end --,UR78FA008BE01.tpl; UR78FC008BE01.tpl; UR78FH008BE01.tpl; UR78QH008BE01.tpl,"Continuity, 1",Continuity.cpp
Continuity,SHORT test (Post-),Y,-- Continuity end --,UR78FA008BE01.tpl; UR78FC008BE01.tpl; UR78FH008BE01.tpl; UR78QH008BE01.tpl,"Continuity, 1",Continuity.cpp
Continuity,MWBO (Multi-Wires Bond-Off test),na,"Exact MWBO/wire-bond test unavailable. Similar active alternative: Continuity and Continuity_current screen electrical opens/shorts indirectly, but they do not exercise bond-off behavior; Dual_Bond is only a failure-bin label.",UR78FA008BE01.tpl; UR78FC008BE01.tpl; UR78FH008BE01.tpl; UR78QH008BE01.tpl,Continuity; Continuity_current,Continuity.cpp; Continuity_current.cpp
Continuity,ICT / JVT (Unpowered Leakage) (Pre-),na,"Exact ICT/JVT unpowered-leakage test unavailable. Similar active alternative: T_0130_LKG_VD_CONTI performs leakage/voltage-continuity screening, but it applies powered voltage stimulus and measures voltage rather than unpowered leakage current.",UR78FC008BE01.tpl; UR78FH008BE01.tpl; UR78QH008BE01.tpl,T_0130_LKG_VD_CONTI,T_0130_LKG_VD_CONTI.cpp
Continuity,ICT / JVT (Unpowered Leakage) (Post-),na,"Exact ICT/JVT unpowered-leakage test unavailable. Similar active alternative: T_0130_LKG_VD_CONTI performs leakage/voltage-continuity screening, but it applies powered voltage stimulus and measures voltage rather than unpowered leakage current.",UR78FC008BE01.tpl; UR78FH008BE01.tpl; UR78QH008BE01.tpl,T_0130_LKG_VD_CONTI,T_0130_LKG_VD_CONTI.cpp
Leakage,Leakage Current (Pin Lkg) (Pre-),Y,-- Pin_Leakage --,UR78FH008BE01.tpl; UR78QH008BE01.tpl,Pin_Leakage,Pin_Leakage.cpp
Consumption,"Supply Current test (Idd, Icc), active/normal mode",Y,-- 0100_PowerOn Test Function --,UR78FA008BE01.tpl; UR78FC008BE01.tpl; UR78FH008BE01.tpl; UR78QH008BE01.tpl,T_0100_PowerOn,T_0100_PowerOn.cpp
Consumption,Standby (or Sleep or Power Down) current (Icc sby),na,"Exact standby/sleep/power-down current test unavailable. Similar active alternative: IDDQ_SCAN measures IDDA/IDDD in scan/quiescent mode, but it is not a dedicated standby/sleep/power-down current test.",UR78FC008BE01.tpl; UR78FH008BE01.tpl; UR78QH008BE01.tpl,IDDQ_SCAN,IDDQ_SCAN.cpp
Consumption,"Quiescent current (Iddq, Idda)",Y,-- IDDQ_SCAN --,UR78FC008BE01.tpl; UR78FH008BE01.tpl; UR78QH008BE01.tpl,IDDQ_SCAN,IDDQ_SCAN.cpp
